texto,insulto,amenaza,rumores_difamatorios,comentarios_humillantes,lenguaje_discriminatorio,acoso_sexual,manipulacion_emocional,lenguaje_vulgar,acoso_general,redes_sociales,suicidio_autolesion
rt mayasolovely mujer deberías quejarte limpiar casa hombre siempre deberías sacar basura,False,False,False,False,False,False,False,False,False,False,False
rt mleew muchacho frío tyga cayó mal derrotar zorra primer lugar,False,False,True,False,False,True,False,False,False,False,False
rt urkindofbrand dawg rt sbabylife alguna vez acostado zorra empezado llorar confundido,False,False,True,False,False,True,False,False,False,False,False
rt cganderson vivabased parece travesti,False,False,False,False,False,False,False,False,False,False,False
rt shenikaroberts mierda escuchas puede ser cierta puede ser falsa perra contó,False,False,True,False,False,True,False,True,False,False,False
tmadisonx mierda deja atónita afirmo tan fiel dispuesta ayudar alguien aún así sigues follando zorras,False,False,True,False,False,True,False,True,False,False,False
brighterdays puedo quedarme sentado odiar perra demasiadas cosas pasando,False,False,False,False,False,True,False,False,False,False,False
selfiequeenbri cansada ustedes grandes perras vengan chicas delgadas,False,False,False,False,False,True,False,False,False,False,False
puede recuperes perra,False,False,False,False,False,True,False,False,False,False,False
rhythmixx pasatiempos incluyen pelear mariam perra,False,False,False,False,False,True,False,False,False,False,False
keeks perra hace mamada mundo jajaja metí conversación así smh,False,False,False,False,False,True,False,False,False,False,False
murda gang queja tierra pandillas,False,False,False,False,False,False,False,False,False,False,False
entonces putas fuman perdedoras sigue ig,True,False,False,False,True,False,False,False,False,False,False
perras malas único gusta,False,False,False,False,False,True,False,False,False,False,False
perra levántate,False,False,False,False,False,True,False,False,False,False,False
perra negra extrañas,False,False,False,False,False,True,False,False,False,False,False
perra favor,False,False,False,False,False,True,False,False,False,False,False
perra quién amas,False,False,False,False,False,True,False,False,False,False,False
perras cortadas días b,False,False,False,False,False,True,False,False,False,False,False
botella negra perra mala,False,False,False,False,False,True,False,False,False,False,False
perra quiebra puede decirme,False,False,False,False,False,True,False,False,False,False,False
cancela perra nino,False,False,False,False,False,True,False,False,False,False,False
ves putas cambiarán,False,False,False,False,True,False,False,False,False,False,False
joder perra siquiera chupa pollas videos kermit punto joder ig,False,False,False,False,False,True,False,True,False,False,False
caminando puntillas pisos madera httptcocouwqlq,False,False,False,False,False,False,False,False,False,False,False
labios vaginales puertas cielo,False,False,False,False,False,False,False,False,False,False,False
quién pega,False,False,False,False,False,False,False,False,False,False,False
conocí coño ocean dr di pastilla coño,False,False,False,False,False,False,False,False,False,False,False
necesito perra alucinante folle hennessy,False,False,False,False,False,True,False,False,False,False,False
gasto dinero quiero perra negocio,False,False,False,False,False,True,False,False,False,False,False
escribo mensaje vieja perra diciendo nueva perra moja coño,False,False,False,False,False,True,False,False,False,False,False
diría vuelto ser mismo viejas perras emocionarían,False,False,False,False,False,True,False,False,False,False,False
si gusta juego asesinatos cállate negro maricón,False,False,False,False,True,False,False,False,False,False,False
si dedos pies listos coño apesta,False,False,False,False,False,False,False,False,False,False,False
terminé perras amargadas hora terminar si pájaro enojado aplicación,False,False,False,False,False,True,False,False,False,False,False
perra,False,False,False,False,False,True,False,False,False,False,False
cortarle mano perra,False,False,False,False,False,True,False,False,False,False,False
acabo conocer hijo ahora cabrón shots,False,False,False,False,False,False,False,True,False,False,False
lames llorando putas lágrimas payaso,False,False,False,False,True,False,False,False,False,False,False
dijo snoop amamos putas,False,False,False,False,True,False,False,False,False,False,False
mamá dijo gatitos dentro caseta perro,False,False,False,False,False,False,False,False,False,False,False
odiado favorito putas mw sevenone httptcobmdsvmcrc,False,False,False,False,True,False,False,False,False,False,False
chicas lindas malas hacen ponerme travieso puta amarilla mala cuerpo realmente lindo chica sureña gustan bien gruesas httptcobzrdlkfu,False,False,False,False,True,False,False,False,False,False,False
proxenetas suben proxenetas suben putas bajan voz futuro,False,False,False,False,True,False,False,False,False,False,False
publica foto coño consigue gusta,False,False,False,False,False,False,False,False,False,False,False
coño droga poderosa happyhumpday httptcorjsymibb,False,False,False,False,False,False,False,False,False,False,False
pedazo rápido coño llámalo driveby,False,False,False,False,False,False,False,False,False,False,False
corriendo aquí mariquita recién llegada punto ser follada,False,False,False,False,False,False,False,False,False,False,False
perras aún peores enviarán chicos,False,False,False,False,False,True,False,False,False,False,False
zorras gustan negros gastan dinero hablan ello,False,False,True,False,True,True,False,False,False,False,False
confiamos negros todas perras,False,False,False,False,True,True,False,False,False,False,False
ustedes negros acuestan zorras ustedes nunca perras,False,False,True,False,True,True,False,False,False,False,False
esquivas bala darealkha todas perras corté embarazadas destinadas estarlo gracias dios,False,False,False,False,False,True,False,False,False,False,False
joven pill chamberlain perras encanta música,False,False,False,False,False,True,False,False,False,False,False
vandalsavage teanna trump probablemente limpia mayoría azadas twitter,False,False,False,False,False,False,False,False,False,False,False
dahomiefuzz negros gays podían esperar comportarse perras noche,False,False,False,False,True,True,False,False,False,False,False
theparadox robaré gato reemplazaré pitbull rt sbabylife theparadox perra deberías hacerlo,False,False,False,False,False,True,False,False,False,False,False
siempre puta,False,False,False,False,True,False,False,False,False,False,False
hijo puta llevó tic tacs gusta película,False,False,False,False,True,False,False,False,False,False,False
