texto,texto_limpio,insulto,amenaza,rumores_difamatorios,comentarios_humillantes,lenguaje_discriminatorio,acoso_sexual,manipulacion_emocional,lenguaje_vulgar,acoso_general,redes_sociales,suicidio_autolesion
"Parce soltame ya, deja tu sapa hijueputa envidia",parce soltame deja sapa hijueputa envidia,False,False,False,False,True,False,False,True,False,False,False
Vendé a tu madre pa conseguir los 2.000 millones sapa HIJUEPUTA malnacida de mierda,vendé madre pa conseguir millones sapa hijueputa malnacida mierda,True,False,False,False,True,False,False,True,False,False,False
SAPA HIJUEPUTA VIDA 😭😭😭😭😭😭👎🏻😭👎🏻😭👎🏻😭👎🏻😭👎🏻😭👎🏻😭👎🏻😭👎🏻😭👎🏻👎🏻😭👎🏻😭👎🏻😭👎🏻😭👎🏻😭👎🏻😭👎🏻😭,sapa hijueputa vida,False,False,False,False,True,False,False,True,False,False,False
SAPA hijueputa te odio,sapa hijueputa odio,False,False,False,False,True,False,False,True,False,False,False
"Quiero un caneco de aguardiente por cada color de tapa y un man que me meta una culeada muy sapa hijueputa, pero así que me deje mal.",quiero caneco aguardiente cada color tapa man meta culeada sapa hijueputa así deje mal,False,False,False,False,True,False,False,True,False,False,False
"jajajaa reclamando respeto y mirele el vocabulario...jajaaj con razon les dan en la jeta y piden aceptación los ""normales"" jajajajaa",jajajaa reclamando respeto mirele vocabulariojajaaj razon dan jeta piden aceptación normales jajajajaa,False,False,False,False,False,False,False,False,False,False,False
¡Qué hijueputa desespero cancelar una sapa hijueputa línea de Movistar! ¡MALDITA SEA!,hijueputa desespero cancelar sapa hijueputa línea movistar maldita,False,False,False,False,True,False,False,True,False,False,False
"y usted sapa hijueputa metida , que puta mierda va hablar,aparte de metiche, entrometida, hablando chorradas",usted sapa hijueputa metida puta mierda va hablaraparte metiche entrometida hablando chorradas,False,False,False,False,True,False,False,True,False,False,False
Que calor tan sapa hijueputa xd,calor tan sapa hijueputa xd,False,False,False,False,True,False,False,True,False,False,False
"🤫mujerzuela mejor deje de mostrar el rabo en publico, eso no la deja pensar 💭",mujerzuela mejor deje mostrar rabo publico deja pensar,False,False,False,False,False,False,False,False,False,False,False
"Como lo hizo sin sospechas y sin testigos, en qué momento esa sapa Hijueputa me convirtió en su amante 🎶",hizo sospechas testigos momento sapa hijueputa convirtió amante,False,False,False,False,True,False,False,True,False,False,False
Vamos todos a putiar a esa gonorrea vendido sapa hijueputa,vamos putiar gonorrea vendido sapa hijueputa,False,False,False,False,True,False,False,True,False,False,False
Que sapa hijueputa rabia.,sapa hijueputa rabia,False,False,False,False,True,False,False,True,False,False,False
Llegará tu sapa hijueputa caída.,llegará sapa hijueputa caída,False,False,False,False,True,False,False,True,False,False,False
En mi sapa hijueputa vida vuelvo a buscar a alguien,sapa hijueputa vida vuelvo buscar alguien,False,False,False,False,True,False,False,True,False,False,False
PERRA SAPA HIJUEPUTA,perra sapa hijueputa,False,False,False,False,True,True,False,True,False,False,False
Una sapa hijueputa fiesta.,sapa hijueputa fiesta,False,False,False,False,True,False,False,True,False,False,False
"Gabriella Montez? Sí, una sapa Hijueputa.",gabriella montez sapa hijueputa,False,False,False,False,True,False,False,True,False,False,False
La movilidad en cali si que se volvió mucha la basurada tan sapa ¡Hijueputa! En todo este chochal todos los semáforos de las cras y la Av  principales y la autopista la Simón Bolívar todos están dañados ésto si es el colmo de la desfachatez de la secretaria de móvilidad.,movilidad cali si volvió mucha basurada tan sapa hijueputa chochal semáforos cras av principales autopista simón bolívar dañados ésto si colmo desfachatez secretaria móvilidad,False,False,False,False,True,False,False,True,False,False,False
Sapa HIJUEPUTA,sapa hijueputa,False,False,False,False,True,False,False,True,False,False,False
"Hoy no almorcé, me desmayé, me dió una migraña ni la sapa hijueputa y ni siquiera podía caminar de lo débil que me sentía. No sé que fue, pero que gonorrea maluquera.",hoy almorcé desmayé dió migraña sapa hijueputa siquiera podía caminar débil sentía sé gonorrea maluquera,False,False,False,False,True,False,False,True,False,False,False
Hablame claro pues sapa hijueputa.,hablame claro pues sapa hijueputa,False,False,False,False,True,False,False,True,False,False,False
"Uy gonorrea, qué sapa hijueputa locura anoche 🥴",uy gonorrea sapa hijueputa locura anoche,False,False,False,False,True,False,False,True,False,False,False
LLEGARÁ TU CAIDA SAPA HIJUEPUTA,llegará caida sapa hijueputa,False,False,False,False,True,False,False,True,False,False,False
Esas llantas Michelin son llama puntillas oyó. Sapa hijueputa sal.,llantas michelin llama puntillas oyó sapa hijueputa sal,False,False,False,False,True,False,False,True,False,False,False
Nos tenemos es que matar Sapa hijueputa,matar sapa hijueputa,False,True,False,False,True,False,False,True,False,False,False
Esa canción y se me reinicia la sapa hijueputa vida.,canción reinicia sapa hijueputa vida,False,False,False,False,True,False,False,True,False,False,False
De hoy no pasas sapa hijueputa,hoy pasas sapa hijueputa,False,False,False,False,True,False,False,True,False,False,False
